지점,지점명,일시,강수량(mm)
108,서울,2020-01-01 00:00,0
108,서울,2020-01-01 03:00,0
108,서울,2020-01-01 06:00,0
108,서울,2020-01-01 09:00,0
108,서울,2020-01-01 12:00,.1
108,서울,2020-01-06 12:00,0
108,서울,2020-01-06 15:00,.1
108,서울,2020-01-06 18:00,.6
108,서울,2020-01-06 21:00,.5
108,서울,2020-01-07 00:00,.6
108,서울,2020-01-07 03:00,2.1
108,서울,2020-01-07 06:00,7.4
108,서울,2020-01-07 09:00,6.5
108,서울,2020-01-07 12:00,2.4
108,서울,2020-01-07 15:00,4.6
108,서울,2020-01-07 18:00,7.2
108,서울,2020-01-07 21:00,9
108,서울,2020-01-08 00:00,7.1
108,서울,2020-01-08 03:00,6.2
108,서울,2020-01-08 06:00,4
108,서울,2020-01-08 09:00,1.4
108,서울,2020-01-08 12:00,0
108,서울,2020-01-19 12:00,.6
108,서울,2020-01-19 15:00,0
108,서울,2020-01-27 18:00,0
108,서울,2020-01-27 21:00,0
108,서울,2020-01-28 00:00,.1
108,서울,2020-01-28 03:00,0
108,서울,2020-01-28 06:00,0
108,서울,2020-01-31 15:00,0
108,서울,2020-02-03 03:00,0
108,서울,2020-02-04 15:00,0
108,서울,2020-02-04 18:00,.2
108,서울,2020-02-04 21:00,1.5
108,서울,2020-02-05 00:00,0
108,서울,2020-02-08 00:00,0
108,서울,2020-02-08 03:00,0
108,서울,2020-02-10 00:00,0
108,서울,2020-02-10 03:00,0
108,서울,2020-02-12 06:00,.1
108,서울,2020-02-12 09:00,0
108,서울,2020-02-12 12:00,.8
108,서울,2020-02-12 15:00,1.4
108,서울,2020-02-12 18:00,1.2
108,서울,2020-02-12 21:00,3.2
108,서울,2020-02-13 00:00,0
108,서울,2020-02-15 21:00,.3
108,서울,2020-02-16 00:00,1.7
108,서울,2020-02-16 03:00,8.1
108,서울,2020-02-16 06:00,3.5
108,서울,2020-02-16 09:00,.8
108,서울,2020-02-16 12:00,.5
108,서울,2020-02-16 15:00,.5
108,서울,2020-02-16 18:00,0
108,서울,2020-02-16 21:00,0
108,서울,2020-02-17 00:00,0
108,서울,2020-02-17 03:00,.4
108,서울,2020-02-17 06:00,.6
108,서울,2020-02-17 09:00,0
108,서울,2020-02-17 12:00,0
108,서울,2020-02-17 15:00,0
108,서울,2020-02-21 21:00,.6
108,서울,2020-02-22 00:00,3.6
108,서울,2020-02-22 03:00,3.1
108,서울,2020-02-22 06:00,0
108,서울,2020-02-22 15:00,0
108,서울,2020-02-25 03:00,.5
108,서울,2020-02-25 06:00,1.9
108,서울,2020-02-25 09:00,6.2
108,서울,2020-02-25 12:00,7.3
108,서울,2020-02-25 15:00,.7
108,서울,2020-02-26 18:00,0
108,서울,2020-02-26 21:00,0
108,서울,2020-02-28 12:00,.2
108,서울,2020-02-28 15:00,2.2
108,서울,2020-02-28 18:00,.5
108,서울,2020-02-28 21:00,.6
108,서울,2020-02-29 00:00,.4
108,서울,2020-02-29 03:00,.3
108,서울,2020-02-29 06:00,.2
108,서울,2020-02-29 09:00,0
108,서울,2020-03-01 21:00,0
108,서울,2020-03-02 00:00,.2
108,서울,2020-03-02 03:00,0
108,서울,2020-03-04 06:00,0
108,서울,2020-03-04 15:00,0
108,서울,2020-03-04 18:00,0
108,서울,2020-03-10 03:00,0
108,서울,2020-03-10 06:00,1.4
108,서울,2020-03-10 09:00,3.4
108,서울,2020-03-10 12:00,3.7
108,서울,2020-03-10 15:00,.7
108,서울,2020-03-10 18:00,1.1
108,서울,2020-03-10 21:00,1.5
108,서울,2020-03-13 03:00,.5
108,서울,2020-03-13 06:00,0
108,서울,2020-03-19 15:00,0
108,서울,2020-03-26 18:00,0
108,서울,2020-03-26 21:00,.2
108,서울,2020-03-27 00:00,1.6
108,서울,2020-03-27 03:00,1.3
108,서울,2020-03-27 06:00,.7
108,서울,2020-04-17 02:00,0
108,서울,2020-04-17 03:00,0
108,서울,2020-04-17 05:00,0
108,서울,2020-04-17 06:00,0
108,서울,2020-04-17 07:00,.3
108,서울,2020-04-17 08:00,.3
108,서울,2020-04-17 09:00,.3
108,서울,2020-04-17 10:00,.3
108,서울,2020-04-17 12:00,0
108,서울,2020-04-17 13:00,.7
108,서울,2020-04-17 14:00,3.2
108,서울,2020-04-17 15:00,1.4
108,서울,2020-04-17 16:00,0
108,서울,2020-04-19 15:00,.1
108,서울,2020-04-19 16:00,1
108,서울,2020-04-19 17:00,2.5
108,서울,2020-04-19 18:00,2.6
108,서울,2020-04-19 19:00,2.1
108,서울,2020-04-19 20:00,1.6
108,서울,2020-04-19 21:00,.3
108,서울,2020-04-19 22:00,.1
108,서울,2020-04-19 23:00,0
108,서울,2020-04-20 00:00,0
108,서울,2020-04-20 12:00,0
108,서울,2020-04-20 13:00,.1
108,서울,2020-04-20 14:00,0
108,서울,2020-04-20 15:00,0
108,서울,2020-04-22 13:00,0
108,서울,2020-04-22 15:00,0
108,서울,2020-04-22 17:00,0
108,서울,2020-04-22 18:00,0
108,서울,2020-05-02 23:00,0
108,서울,2020-05-03 00:00,0
108,서울,2020-05-03 02:00,0
108,서울,2020-05-03 03:00,0
108,서울,2020-05-03 10:00,0
108,서울,2020-05-08 18:00,0
108,서울,2020-05-08 19:00,0
108,서울,2020-05-08 20:00,0
108,서울,2020-05-08 21:00,.1
108,서울,2020-05-08 22:00,.4
108,서울,2020-05-08 23:00,1.5
108,서울,2020-05-09 00:00,.3
108,서울,2020-05-09 01:00,.2
108,서울,2020-05-09 02:00,.1
108,서울,2020-05-09 03:00,.4
108,서울,2020-05-09 04:00,1.8
108,서울,2020-05-09 05:00,1.2
108,서울,2020-05-09 06:00,1.9
108,서울,2020-05-09 07:00,1.8
108,서울,2020-05-09 08:00,3.4
108,서울,2020-05-09 09:00,1.4
108,서울,2020-05-09 10:00,3.2
108,서울,2020-05-09 11:00,3.7
108,서울,2020-05-09 12:00,1.3
108,서울,2020-05-09 13:00,.7
108,서울,2020-05-09 14:00,.2
108,서울,2020-05-09 15:00,.3
108,서울,2020-05-09 16:00,.7
108,서울,2020-05-09 17:00,1.1
108,서울,2020-05-09 18:00,0
108,서울,2020-05-09 19:00,.2
108,서울,2020-05-09 20:00,.2
108,서울,2020-05-09 21:00,.3
108,서울,2020-05-09 22:00,0
108,서울,2020-05-09 23:00,0
108,서울,2020-05-10 00:00,.3
108,서울,2020-05-10 01:00,0
108,서울,2020-05-10 02:00,.1
108,서울,2020-05-10 03:00,.4
108,서울,2020-05-10 04:00,.5
108,서울,2020-05-10 05:00,.1
108,서울,2020-05-10 06:00,.2
108,서울,2020-05-10 07:00,0
108,서울,2020-05-10 08:00,0
108,서울,2020-05-10 09:00,0
108,서울,2020-05-11 21:00,0
108,서울,2020-05-11 22:00,0
108,서울,2020-05-11 23:00,.1
108,서울,2020-05-12 00:00,3.3
108,서울,2020-05-12 01:00,.7
108,서울,2020-05-15 03:00,0
108,서울,2020-05-15 04:00,0
108,서울,2020-05-15 05:00,0
108,서울,2020-05-15 06:00,.2
108,서울,2020-05-15 07:00,.4
108,서울,2020-05-15 08:00,1.4
108,서울,2020-05-15 09:00,1.2
108,서울,2020-05-15 10:00,1.9
108,서울,2020-05-15 11:00,1.9
108,서울,2020-05-15 12:00,.9
108,서울,2020-05-15 13:00,0
108,서울,2020-05-15 14:00,.3
108,서울,2020-05-15 15:00,.5
108,서울,2020-05-15 16:00,.8
108,서울,2020-05-15 17:00,.2
108,서울,2020-05-15 18:00,.2
108,서울,2020-05-15 19:00,.8
108,서울,2020-05-15 20:00,.3
108,서울,2020-05-15 21:00,.2
108,서울,2020-05-15 22:00,.6
108,서울,2020-05-15 23:00,.2
108,서울,2020-05-16 00:00,0
108,서울,2020-05-16 01:00,.2
108,서울,2020-05-16 02:00,.2
108,서울,2020-05-16 03:00,.3
108,서울,2020-05-16 04:00,.3
108,서울,2020-05-16 05:00,.1
108,서울,2020-05-16 06:00,.2
108,서울,2020-05-16 07:00,.4
108,서울,2020-05-16 08:00,.3
108,서울,2020-05-16 09:00,.2
108,서울,2020-05-16 10:00,0
108,서울,2020-05-16 11:00,0
108,서울,2020-05-16 12:00,.2
108,서울,2020-05-16 13:00,.1
108,서울,2020-05-17 06:00,0
108,서울,2020-05-17 07:00,0
108,서울,2020-05-18 07:00,0
108,서울,2020-05-18 08:00,0
108,서울,2020-05-18 16:00,1.1
108,서울,2020-05-18 17:00,18.9
108,서울,2020-05-18 18:00,0
108,서울,2020-05-18 19:00,6.7
108,서울,2020-05-18 20:00,2.7
108,서울,2020-05-18 21:00,.4
108,서울,2020-05-18 22:00,0
108,서울,2020-05-19 04:00,.2
108,서울,2020-05-19 05:00,.2
108,서울,2020-05-19 07:00,.1
108,서울,2020-05-19 08:00,2.6
108,서울,2020-05-19 09:00,2.7
108,서울,2020-05-19 10:00,3.7
108,서울,2020-05-19 11:00,9
108,서울,2020-05-19 12:00,.5
108,서울,2020-05-19 20:00,0
108,서울,2020-05-19 21:00,0
108,서울,2020-05-20 08:00,0
108,서울,2020-05-20 09:00,0
108,서울,2020-05-22 01:00,0
108,서울,2020-05-22 19:00,0
108,서울,2020-05-23 01:00,0
108,서울,2020-05-23 02:00,0
108,서울,2020-05-24 01:00,0
108,서울,2020-05-24 02:00,0
108,서울,2020-05-24 03:00,.5
108,서울,2020-05-24 04:00,.9
108,서울,2020-05-24 05:00,.2
108,서울,2020-05-24 06:00,4.1
108,서울,2020-05-24 07:00,7.7
108,서울,2020-05-24 08:00,1
108,서울,2020-05-24 09:00,.1
108,서울,2020-05-24 10:00,0
108,서울,2020-05-26 16:00,0
108,서울,2020-05-26 17:00,0
108,서울,2020-05-26 18:00,0
108,서울,2020-05-26 20:00,0
108,서울,2020-05-26 21:00,1.5
108,서울,2020-05-28 09:00,0
108,서울,2020-05-31 23:00,.2
108,서울,2020-06-01 00:00,.8
108,서울,2020-06-01 01:00,.3
108,서울,2020-06-01 02:00,0
108,서울,2020-06-01 04:00,0
108,서울,2020-06-01 05:00,0
108,서울,2020-06-01 06:00,.1
108,서울,2020-06-02 11:00,0
108,서울,2020-06-02 12:00,1.9
108,서울,2020-06-02 18:00,0
108,서울,2020-06-03 00:00,.1
108,서울,2020-06-04 03:00,0
108,서울,2020-06-04 04:00,0
108,서울,2020-06-04 05:00,0
108,서울,2020-06-04 06:00,.1
